;N20;Date;Bande;soilH_H1;soilH_H2;NO3_H1;NO3_H2;NH4_H1;NH4_H2;Temp moyenne (°C) J1;Humidité moyenne (%) J1;Temp moyenne (°C) J7;Humidité moyenne (%) J7;Temp moyenne (°C) J30;Humidité moyenne (%) J30;Sum Pluie (mm) J1;Sum ETP Penman (mm) J1;Sum Pluie (mm) J7;Sum ETP Penman (mm) J7;Sum Pluie (mm) J30;Humidité max (%) J7;Humidité max (%) J30;Humidité max (%);Sum Humidité min (%) J1;Temp min J1;Sum Humidité min (%) J7;Temp min J7;Sum Humidité min (%) J30;Temp min J30;acs;bi;bio;elev;pn;ref;week;month;year;2018;2019;2020;2021;Pic
327;-0.115919273572413;2021-02-08;bio;0.2283450387178103;0.1991854517901117;6.779854655775966;8.678496014192783;0.8288558576429412;1.4495741159077469;86.0;-1.4;89.85714285714286;6.528571428571428;89.63333333333334;5.489999999999999;0.3;0.0;3.2;9.5;13.5;90.0;96.71428571428572;96.5;81.0;-1.8;78.14285714285714;4.542857142857143;77.9;3.3500000000000005;0.0;0.0;1.0;0.0;0.0;0.0;6;2;2021;0.0;0.0;0.0;1.0;1
88;-0.0873971355597162;2018-09-25;pn;0.105509224159717;0.0943929459642777;22.83435942929793;16.946966745724627;0.8131029288505912;0.4397204177589144;70.0;10.8;74.14285714285714;15.3;72.2;17.08;2.3;0.0;18.8;10.5;86.2;94.0;94.71428571428572;95.06666666666666;41.0;5.3;51.85714285714285;10.857142857142858;46.766666666666666;11.7;0.0;0.0;0.0;0.0;1.0;0.0;39;9;2018;1.0;0.0;0.0;0.0;1
89;-0.0817917843227396;2018-09-25;ref;0.1069637233173918;0.0973376293030353;17.92639502351097;15.77564771745256;0.5106367946708462;0.4738394639614248;70.0;10.8;74.14285714285714;15.3;72.2;17.08;2.3;0.0;18.8;10.5;86.2;94.0;94.71428571428572;95.06666666666666;41.0;5.3;51.85714285714285;10.857142857142858;46.766666666666666;11.7;0.0;0.0;0.0;0.0;0.0;1.0;39;9;2018;1.0;0.0;0.0;0.0;1
173;-0.0681300202669503;2019-04-24;bio;0.1018970698722765;0.0992658544204936;1.7208772665481542;0.964875227607734;2.468938924326397;2.2442283071765075;79.0;12.6;58.57142857142857;16.32857142857143;66.06666666666666;10.566666666666665;2.6;8.5;25.9;8.5;83.2;97.0;84.42857142857143;90.16666666666669;63.0;9.4;33.57142857142857;9.928571428571429;40.06666666666667;4.843333333333335;0.0;0.0;1.0;0.0;0.0;0.0;17;4;2019;0.0;1.0;0.0;0.0;1
104;-0.0580029159460293;2018-10-17;bio;0.0847218962684815;0.1094424305195926;19.480418999999998;27.8499461135879;1.4038176923076922;0.9406802351876978;83.0;14.9;72.0;18.8;73.93333333333334;15.48;1.0;0.0;15.6;4.5;64.6;100.0;92.71428571428572;94.43333333333334;55.0;10.0;48.57142857142857;14.342857142857143;50.0;10.383333333333336;0.0;0.0;1.0;0.0;0.0;0.0;42;10;2018;1.0;0.0;0.0;0.0;1
107;-0.0319383996436902;2018-10-17;ref;0.0978552278820375;0.1015507215162609;16.048807578008915;17.915064724919095;0.383304853888063;0.5415765312237801;83.0;14.9;72.0;18.8;73.93333333333334;15.48;1.0;0.0;15.6;4.5;64.6;100.0;92.71428571428572;94.43333333333334;55.0;10.0;48.57142857142857;14.342857142857143;50.0;10.383333333333336;0.0;0.0;0.0;0.0;0.0;1.0;42;10;2018;1.0;0.0;0.0;0.0;1
170;-0.0229368027737906;2019-04-12;ref;0.1518684373069797;0.183787747483501;29.88222819299045;5.7598476968311;21.659796898801403;3.3517062452357598;64.0;5.5;72.42857142857143;9.0;73.76666666666667;8.73666666666667;2.8;0.0;16.0;0.5;63.79999999999999;93.0;93.14285714285714;94.2;40.0;0.3;49.142857142857146;4.442857142857142;48.8;3.86;0.0;0.0;0.0;0.0;0.0;1.0;15;4;2019;0.0;1.0;0.0;0.0;1
70;-0.0169434163599914;2018-07-11;pn;0.0889405869720831;0.1096679855496301;5.205731526222748;6.016709342092551;0.1281714201532116;0.0762988503526228;73.0;17.5;64.0;21.014285714285712;70.46666666666667;19.45333333333333;3.6;0.0;36.7;0.0;149.50000000000003;91.0;89.42857142857143;92.86666666666666;53.0;11.9;41.42857142857143;14.828571428571433;48.16666666666666;13.54333333333333;0.0;0.0;0.0;0.0;1.0;0.0;28;7;2018;1.0;0.0;0.0;0.0;1
72;-0.0077511974623668;2018-08-30;acs;0.1001809954751132;0.1028490782393932;25.61475834255255;13.574806803657456;1.949515592208925;1.2848582571363028;80.0;16.8;72.57142857142857;16.94285714285714;68.06666666666666;20.276666666666667;2.1;0.0;22.4;12.0;126.4;97.0;97.0;92.73333333333332;52.0;13.8;44.71428571428572;12.157142857142858;42.93333333333333;14.243333333333336;1.0;0.0;0.0;0.0;0.0;0.0;35;8;2018;1.0;0.0;0.0;0.0;1
73;-0.0077511974623668;2018-08-30;acs;0.1001809954751132;0.1028490782393932;26.570532907573163;14.049450398190936;2.0222587113211965;1.3297833710221874;80.0;16.8;72.57142857142857;16.94285714285714;68.06666666666666;20.276666666666667;2.1;0.0;22.4;12.0;126.4;97.0;97.0;92.73333333333332;52.0;13.8;44.71428571428572;12.157142857142858;42.93333333333333;14.243333333333336;1.0;0.0;0.0;0.0;0.0;0.0;35;8;2018;1.0;0.0;0.0;0.0;1
74;-0.0077511974623668;2018-08-30;acs;0.1001809954751132;0.1028490782393932;25.61475834255255;13.574806803657456;1.949515592208925;1.2848582571363028;80.0;16.8;72.57142857142857;16.94285714285714;68.06666666666666;20.276666666666667;2.1;0.0;22.4;12.0;126.4;97.0;97.0;92.73333333333332;52.0;13.8;44.71428571428572;12.157142857142858;42.93333333333333;14.243333333333336;1.0;0.0;0.0;0.0;0.0;0.0;35;8;2018;1.0;0.0;0.0;0.0;1
75;-0.0077511974623668;2018-08-30;acs;0.1001809954751132;0.1028490782393932;26.570532907573163;14.049450398190936;2.0222587113211965;1.3297833710221874;80.0;16.8;72.57142857142857;16.94285714285714;68.06666666666666;20.276666666666667;2.1;0.0;22.4;12.0;126.4;97.0;97.0;92.73333333333332;52.0;13.8;44.71428571428572;12.157142857142858;42.93333333333333;14.243333333333336;1.0;0.0;0.0;0.0;0.0;0.0;35;8;2018;1.0;0.0;0.0;0.0;1
184;0.00656798299587;2019-05-06;bi;0.1658100133257186;0.1357289673258204;12.35866218621634;2.796334492373298;26.016081705461737;2.3795366683068173;68.0;7.6;79.42857142857143;8.8;71.06666666666666;10.54;2.9;0.0;18.5;9.5;85.5;99.0;98.71428571428572;92.66666666666669;37.0;-0.1;50.42857142857143;3.771428571428571;45.266666666666666;5.383333333333335;0.0;1.0;0.0;0.0;0.0;0.0;19;5;2019;0.0;1.0;0.0;0.0;1
66;0.0260640081880355;2018-07-11;acs;0.0982230997038499;0.1089147286821704;10.756635467980296;9.611565550239233;0.1351074986316366;0.3497165869218502;73.0;17.5;64.0;21.014285714285712;70.46666666666667;19.45333333333333;3.6;0.0;36.7;0.0;149.50000000000003;91.0;89.42857142857143;92.86666666666666;53.0;11.9;41.42857142857143;14.828571428571433;48.16666666666666;13.54333333333333;1.0;0.0;0.0;0.0;0.0;0.0;28;7;2018;1.0;0.0;0.0;0.0;1
206;0.0357205583304586;2019-06-17;ref;0.1532155898353081;0.1563396817114531;1.3120922291648336;0.7759814147661382;2.518488139869166;2.1084747532534456;67.0;19.6;75.71428571428571;15.471428571428572;75.76666666666667;15.47666666666667;5.1;0.0;28.6;8.5;117.3;96.0;95.0;95.86666666666666;41.0;11.3;52.142857142857146;10.514285714285714;51.53333333333333;10.743333333333332;0.0;0.0;0.0;0.0;0.0;1.0;25;6;2019;0.0;1.0;0.0;0.0;1
124;0.0624377019600855;2019-01-04;pn;0.211114659853082;0.2013748738647831;3.4348730769230773;4.945081734186212;0.6066267071524964;1.1707586669825467;89.0;3.4;91.85714285714286;5.685714285714286;90.23333333333332;5.623333333333333;0.1;0.0;0.9;1.0;6.499999999999999;99.0;98.57142857142856;97.8;75.0;1.5;80.28571428571429;3.971428571428572;77.4;3.393333333333333;0.0;0.0;0.0;0.0;1.0;0.0;1;1;2019;0.0;1.0;0.0;0.0;1
94;0.072560825826914;2018-10-03;pn;0.0951481970926939;0.0953792680433449;27.957790778218232;19.722426963498695;0.8297065164475971;0.6321973707010206;89.0;14.9;74.42857142857143;12.857142857142858;72.76666666666667;15.876666666666663;1.4;0.5;13.200000000000005;2.0;76.2;100.0;95.0;95.13333333333334;67.0;13.9;50.57142857142857;7.385714285714285;47.53333333333333;10.38;0.0;0.0;0.0;0.0;1.0;0.0;40;10;2018;1.0;0.0;0.0;0.0;1
249;0.0780258760296722;2020-02-18;bio;0.2094269466316711;0.2198284664080049;3.821494286899987;4.240647349823321;2.8961639092543923;3.978878994895955;77.0;7.0;77.57142857142857;8.77142857142857;84.36666666666666;6.803333333333333;1.2;5.5;10.5;14.5;24.0;89.0;91.42857142857144;94.76666666666668;60.0;3.7;59.85714285714285;6.385714285714286;68.26666666666667;4.233333333333333;0.0;0.0;1.0;0.0;0.0;0.0;8;2;2020;0.0;0.0;1.0;0.0;1
125;0.0886917548910321;2019-01-04;ref;0.2205270457697641;0.2034613761080625;3.38090177935943;3.5120890302066767;2.564258837485172;1.4039872813990453;89.0;3.4;91.85714285714286;5.685714285714286;90.23333333333332;5.623333333333333;0.1;0.0;0.9;1.0;6.499999999999999;99.0;98.57142857142856;97.8;75.0;1.5;80.28571428571429;3.971428571428572;77.4;3.393333333333333;0.0;0.0;0.0;0.0;0.0;1.0;1;1;2019;0.0;1.0;0.0;0.0;1
329;0.1123966436721809;2021-02-08;pn;0.221997893258427;0.2207678116489501;7.331716382714654;7.3545645321307775;1.9987216771973373;1.5436719673055244;86.0;-1.4;89.85714285714286;6.528571428571428;89.63333333333334;5.489999999999999;0.3;0.0;3.2;9.5;13.5;90.0;96.71428571428572;96.5;81.0;-1.8;78.14285714285714;4.542857142857143;77.9;3.3500000000000005;0.0;0.0;0.0;0.0;1.0;0.0;6;2;2021;0.0;0.0;0.0;1.0;1
243;0.1174986093769727;2020-01-30;bio;0.2288264017511365;0.2153994019649721;1.901445917030568;4.792781135157206;1.876590414847161;2.3509305839118;92.0;9.3;89.28571428571429;5.414285714285714;88.53333333333333;5.796666666666667;0.3;1.5;2.5;14.5;9.7;97.0;96.42857142857144;96.9;79.0;4.0;77.0;2.385714285714286;75.96666666666667;3.1033333333333326;0.0;0.0;1.0;0.0;0.0;0.0;5;1;2020;0.0;0.0;1.0;0.0;1
201;0.1188297522465906;2019-06-17;acs;0.1411992263056093;0.1283992356313391;2.772486486486487;2.421430508474576;2.522192567567568;3.750607122579194;67.0;19.6;75.71428571428571;15.471428571428572;75.76666666666667;15.47666666666667;5.1;0.0;28.6;8.5;117.3;96.0;95.0;95.86666666666666;41.0;11.3;52.142857142857146;10.514285714285714;51.53333333333333;10.743333333333332;1.0;0.0;0.0;0.0;0.0;0.0;25;6;2019;0.0;1.0;0.0;0.0;1
137;0.1348347653366753;2019-03-01;bio;0.2095918837906387;0.19659494604196;1.8031023920653444;1.4337654263307191;2.7687638953714515;2.1045328772456746;88.0;9.3;67.0;9.72857142857143;78.96666666666667;6.836666666666664;0.9;0.5;9.1;4.0;24.2;99.0;88.85714285714286;94.7;78.0;8.1;43.0;4.1571428571428575;57.6;2.523333333333333;0.0;0.0;1.0;0.0;0.0;0.0;9;3;2019;0.0;1.0;0.0;0.0;1
248;0.1405780619951797;2020-02-18;bi;0.2199141116548487;0.2153932374369513;3.597572346690564;2.454813;2.178122033030342;2.234009714285714;77.0;7.0;77.57142857142857;8.77142857142857;84.36666666666666;6.803333333333333;1.2;5.5;10.5;14.5;24.0;89.0;91.42857142857144;94.76666666666668;60.0;3.7;59.85714285714285;6.385714285714286;68.26666666666667;4.233333333333333;0.0;1.0;0.0;0.0;0.0;0.0;8;2;2020;0.0;0.0;1.0;0.0;1
85;0.1502393109022523;2018-09-25;bi;0.1051768564066525;0.0891550938195697;18.1789130104712;16.965635195530727;0.7823238394415358;1.3540152467411544;70.0;10.8;74.14285714285714;15.3;72.2;17.08;2.3;0.0;18.8;10.5;86.2;94.0;94.71428571428572;95.06666666666666;41.0;5.3;51.85714285714285;10.857142857142858;46.766666666666666;11.7;0.0;1.0;0.0;0.0;0.0;0.0;39;9;2018;1.0;0.0;0.0;0.0;1
207;0.1631054757357214;2019-08-12;elev;0.1346339371851216;0.1198210672063052;4.804964771460425;6.048932090997094;2.84267231512449;2.7364216602129714;75.0;15.8;70.71428571428571;19.585714285714285;64.23333333333333;20.84333333333333;4.0;0.0;28.6;29.5;145.3;93.0;92.42857142857144;91.13333333333334;47.0;12.0;47.42857142857143;15.8;38.36666666666667;14.803333333333333;0.0;0.0;0.0;1.0;0.0;0.0;33;8;2019;0.0;1.0;0.0;0.0;1
96;0.1666305726892089;2018-10-09;acs;0.0796862097440132;0.0962942167321728;35.996584925975775;22.349503448275858;0.4013580828473153;0.4386743295019152;77.0;14.2;79.57142857142857;14.142857142857142;73.43333333333334;15.146666666666665;1.5;0.0;11.0;1.5;69.69999999999999;94.0;96.28571428571428;95.3;54.0;5.3;55.285714285714285;9.37142857142857;48.4;9.46;1.0;0.0;0.0;0.0;0.0;0.0;41;10;2018;1.0;0.0;0.0;0.0;1
106;0.1674337215029443;2018-10-17;pn;0.0952944658182895;0.0965032232857981;17.86281452404318;21.91184345945945;0.2808016573983206;0.2400358438438437;83.0;14.9;72.0;18.8;73.93333333333334;15.48;1.0;0.0;15.6;4.5;64.6;100.0;92.71428571428572;94.43333333333334;55.0;10.0;48.57142857142857;14.342857142857143;50.0;10.383333333333336;0.0;0.0;0.0;0.0;1.0;0.0;42;10;2018;1.0;0.0;0.0;0.0;1
130;0.1732367159693503;2019-02-14;pn;0.2182139005979805;0.2107031071074127;1.7202954733542315;2.3577564948254177;1.346141375130616;1.8080427765418956;79.0;5.6;83.57142857142857;5.9;88.4;3.46;0.6;0.5;5.5;16.0;12.0;96.0;96.42857142857144;97.43333333333334;45.0;0.4;62.285714285714285;2.657142857142856;73.86666666666666;1.0566666666666669;0.0;0.0;0.0;0.0;1.0;0.0;7;2;2019;0.0;1.0;0.0;0.0;1
241;0.1760830387359762;2020-01-30;acs;0.2138609801107238;0.1962598804704068;0.8611691705790299;1.3345773087071235;1.891962571726656;2.197334356760214;92.0;9.3;89.28571428571429;5.414285714285714;88.53333333333333;5.796666666666667;0.3;1.5;2.5;14.5;9.7;97.0;96.42857142857144;96.9;79.0;4.0;77.0;2.385714285714286;75.96666666666667;3.1033333333333326;1.0;0.0;0.0;0.0;0.0;0.0;5;1;2020;0.0;0.0;1.0;0.0;1
67;0.1764675437423916;2018-07-11;bi;0.0694158075601375;0.0969462365591398;3.78665494830133;5.543689255096209;0.6980449778434268;0.2349926081158316;73.0;17.5;64.0;21.014285714285712;70.46666666666667;19.45333333333333;3.6;0.0;36.7;0.0;149.50000000000003;91.0;89.42857142857143;92.86666666666666;53.0;11.9;41.42857142857143;14.828571428571433;48.16666666666666;13.54333333333333;0.0;1.0;0.0;0.0;0.0;0.0;28;7;2018;1.0;0.0;0.0;0.0;1
110;0.1825049714834595;2018-10-31;bio;0.1610579761483056;0.1089341692789969;19.671880872624914;29.166463852242742;4.179536251466102;1.560480211081794;93.0;7.2;86.28571428571429;7.028571428571429;80.53333333333333;13.066666666666665;0.3;2.0;5.4;16.0;42.2;100.0;98.0;96.66666666666669;80.0;2.3;68.57142857142857;4.499999999999999;59.2;8.793333333333333;0.0;0.0;1.0;0.0;0.0;0.0;44;10;2018;1.0;0.0;0.0;0.0;1
202;0.2285207394611718;2019-06-17;bi;0.1549462561486608;0.1633777281918974;0.8881894039021233;1.1062256209368226;2.459882587761848;3.3107469300438965;67.0;19.6;75.71428571428571;15.471428571428572;75.76666666666667;15.47666666666667;5.1;0.0;28.6;8.5;117.3;96.0;95.0;95.86666666666666;41.0;11.3;52.142857142857146;10.514285714285714;51.53333333333333;10.743333333333332;0.0;1.0;0.0;0.0;0.0;0.0;25;6;2019;0.0;1.0;0.0;0.0;1
120;0.2321767252364048;2019-01-04;acs;0.2100854275524592;0.1914960382835177;7.933665812683751;6.33836638851155;2.9081465642353828;1.2748050542294669;89.0;3.4;91.85714285714286;5.685714285714286;90.23333333333332;5.623333333333333;0.1;0.0;0.9;1.0;6.499999999999999;99.0;98.57142857142856;97.8;75.0;1.5;80.28571428571429;3.971428571428572;77.4;3.393333333333333;1.0;0.0;0.0;0.0;0.0;0.0;1;1;2019;0.0;1.0;0.0;0.0;1
161;0.2376443402513349;2019-04-05;bio;0.1614042166851609;0.169313320281343;3.0256202814868285;2.3785268505586594;2.7189945386743646;1.793905772811918;61.0;7.8;65.42857142857143;9.5;74.4;8.54;2.4;0.0;18.8;8.0;63.1;82.0;90.42857142857144;94.23333333333332;36.0;1.6;35.857142857142854;3.685714285714286;49.46666666666667;4.05;0.0;0.0;1.0;0.0;0.0;0.0;14;4;2019;0.0;1.0;0.0;0.0;1
292;0.2433233111106786;2020-05-27;elev;0.1186665307370782;0.0943856794141579;4.992728259109313;4.595734770889486;1.0026804164256795;0.7446792452830183;54.0;19.1;63.285714285714285;17.628571428571426;67.56666666666666;14.090000000000002;6.1;0.0;34.7;2.0;123.09999999999998;77.0;90.71428571428572;91.13333333333334;34.0;12.0;38.42857142857143;11.2;42.266666666666666;8.493333333333334;0.0;0.0;0.0;1.0;0.0;0.0;22;5;2020;0.0;0.0;1.0;0.0;1
157;0.2465929311155243;2019-03-25;pn;0.1796014462288742;0.1937555640340837;34.92336601414369;6.79640367536872;51.91475835468551;4.046968425480452;69.0;6.8;78.85714285714286;7.928571428571429;76.16666666666667;8.753333333333332;2.3;0.0;11.8;0.5;51.09999999999998;99.0;98.71428571428572;93.76666666666668;42.0;1.4;49.85714285714285;2.571428571428572;54.43333333333333;4.846666666666668;0.0;0.0;0.0;0.0;1.0;0.0;13;3;2019;0.0;1.0;0.0;0.0;1
250;0.2694509139463992;2020-02-18;elev;0.2082492940701896;0.2047236377891023;1.4391608712265958;1.8746113863216265;2.962272793274742;2.958570351201478;77.0;7.0;77.57142857142857;8.77142857142857;84.36666666666666;6.803333333333333;1.2;5.5;10.5;14.5;24.0;89.0;91.42857142857144;94.76666666666668;60.0;3.7;59.85714285714285;6.385714285714286;68.26666666666667;4.233333333333333;0.0;0.0;0.0;1.0;0.0;0.0;8;2;2020;0.0;0.0;1.0;0.0;1
237;0.277670248898647;2019-12-23;bio;0.2175425038639876;0.2152712152712152;1.4989417777777774;1.5582832369942194;2.46167674074074;6.479861127167627;80.0;8.5;82.71428571428571;9.514285714285714;87.36666666666666;7.216666666666667;0.9;2.5;4.7;26.5;15.0;91.0;93.0;95.93333333333334;73.0;6.6;70.57142857142857;7.314285714285715;76.06666666666666;5.163333333333332;0.0;0.0;1.0;0.0;0.0;0.0;52;12;2019;0.0;1.0;0.0;0.0;1
245;0.2819745627048953;2020-01-30;pn;0.2287867111910266;0.2162162162162162;0.5219293882535805;0.6243310344827587;1.5782150549572551;3.251724137931034;92.0;9.3;89.28571428571429;5.414285714285714;88.53333333333333;5.796666666666667;0.3;1.5;2.5;14.5;9.7;97.0;96.42857142857144;96.9;79.0;4.0;77.0;2.385714285714286;75.96666666666667;3.1033333333333326;0.0;0.0;0.0;0.0;1.0;0.0;5;1;2020;0.0;0.0;1.0;0.0;1
239;0.2844709666956662;2019-12-23;pn;0.2193658097429229;0.217436974789916;0.5501261532547412;0.5474432214765101;1.8459788698103532;3.0239720805369124;80.0;8.5;82.71428571428571;9.514285714285714;87.36666666666666;7.216666666666667;0.9;2.5;4.7;26.5;15.0;91.0;93.0;95.93333333333334;73.0;6.6;70.57142857142857;7.314285714285715;76.06666666666666;5.163333333333332;0.0;0.0;0.0;0.0;1.0;0.0;52;12;2019;0.0;1.0;0.0;0.0;1
167;0.2967008420446148;2019-04-12;bio;0.1404084901882257;0.1589996477632969;1.413340924338427;1.133666878874183;3.0765148403528384;2.755440330596973;64.0;5.5;72.42857142857143;9.0;73.76666666666667;8.73666666666667;2.8;0.0;16.0;0.5;63.79999999999999;93.0;93.14285714285714;94.2;40.0;0.3;49.142857142857146;4.442857142857142;48.8;3.86;0.0;0.0;1.0;0.0;0.0;0.0;15;4;2019;0.0;1.0;0.0;0.0;1
229;0.2984335613234364;2019-11-05;acs;0.2031928867333535;0.184694693804995;3.074709611970581;2.1811969911697373;14.118041634964918;3.185869544678221;87.0;8.9;89.0;10.757142857142856;86.46666666666667;12.363333333333332;0.7;0.0;5.7;19.5;34.599999999999994;97.0;96.85714285714286;96.6;70.0;7.5;76.14285714285714;9.042857142857144;70.16666666666667;9.936666666666666;1.0;0.0;0.0;0.0;0.0;0.0;45;11;2019;0.0;1.0;0.0;0.0;1
328;0.2998736192496673;2021-02-08;elev;0.2170448153009562;0.2131829527595452;6.684645299964075;7.103522030313712;0.9953911717159616;1.9893743390905887;86.0;-1.4;89.85714285714286;6.528571428571428;89.63333333333334;5.489999999999999;0.3;0.0;3.2;9.5;13.5;90.0;96.71428571428572;96.5;81.0;-1.8;78.14285714285714;4.542857142857143;77.9;3.3500000000000005;0.0;0.0;0.0;1.0;0.0;0.0;6;2;2021;0.0;0.0;0.0;1.0;1
255;0.3007880340474044;2020-02-25;bio;0.226773575039219;0.2064117949597119;4.309402614968438;5.601744653272843;3.838835662759241;1.5091458198314969;83.0;7.2;84.14285714285714;8.3;82.33333333333333;8.416666666666666;1.7;2.5;8.0;12.5;31.8;98.0;94.85714285714286;93.76666666666668;60.0;6.4;67.14285714285714;5.985714285714286;65.56666666666666;6.026666666666667;0.0;0.0;1.0;0.0;0.0;0.0;9;2;2020;0.0;0.0;1.0;0.0;1
240;0.312641159268773;2019-12-23;ref;0.2248515131516922;0.2183063635461133;0.5183628557528582;0.979048133096266;1.8266119678910235;2.323607569215137;80.0;8.5;82.71428571428571;9.514285714285714;87.36666666666666;7.216666666666667;0.9;2.5;4.7;26.5;15.0;91.0;93.0;95.93333333333334;73.0;6.6;70.57142857142857;7.314285714285715;76.06666666666666;5.163333333333332;0.0;0.0;0.0;0.0;0.0;1.0;52;12;2019;0.0;1.0;0.0;0.0;1
